Stock Ticker,Beta_1 (SMB),Beta_2 (HML),Beta_3 (RMW),Beta_4 (CMA),Beta_5 (RF)
SUNW,-4.172790048232871,3.585693625400305,-14.010610263362185,-1.8566917822890785,0.8787668101601852
ORCL,-0.8296089349397848,-1.0862079949788668,-7.060582408559495,-2.344956735607994,1.0052131873110492
MSFT,-0.42318550661769594,1.0027934751881447,-2.537084699738125,-3.3459208354872567,-0.14516169447537916
SDS,-4.3234442233122055,2.3146601090707666,-6.104541133324545,-1.3373938045008487,2.21134620483519
TW,1.755288418507073,-0.4711616830159611,-14.912225343662541,13.06875371030619,9.320551571890391
OV,-9.96855472524827,-0.6650569435052627,-0.5592535402379163,-3.2684712647493104,6.620096071667392
AYE,1.614352347978007,3.1229879121717996,-0.005119775781221,0.07408003380203905,1.8982830116153606
TROW,-1.777190410879903,5.489575718340524,-5.058239747701687,-4.195328578671231,0.084707871477247
HON,-2.4659737531274435,2.924386639013063,-2.72044719559641,0.4799430979065697,0.5351355431244532
EMC,-4.608859044585104,0.8389299789175994,-11.03091839430448,-0.8396745231057384,0.029383257279372643
TECD,-1.9874074771259596,2.41907010757857,-1.8759898451455408,-2.457056712295585,-0.6793036522963435
FO,2.0697641493159664,4.708929002288152,1.1696053825888095,-1.4565925699585753,-0.7853999080404597
TKLC,1.8811556402280294,1.4053593774071216,-8.722067170951364,2.6516361642196316,4.147488703893219
LLTC,-3.149786490235686,0.13440098333595318,-7.314860854862306,-1.1996219826868195,0.30502321299267005
CY,-2.9294129904023367,-1.2810822508488637,-10.55081133837092,0.6232161135030083,1.7293436816656957
GENZ,-0.7782805219000897,0.47184496359123984,-4.232405343962673,-0.5519473871009233,0.6037669238999825
IMDC,-7.51221439578416,-0.49863099074070205,-4.30567396459497,-2.5217431923859825,-0.6242221933891045
ADPT,12.473943825057002,16.80528304367967,-6.109189338750251,-21.195084921101923,-1.2015577481156654
TCB,-1.765664001694777,3.3650707186771016,-1.6465488832988482,-0.39055463047482414,1.1060570756277475
T,-2.774024528837769,2.2124915127680875,-3.964181672045176,-1.3843051761738028,0.10215962285659118
JMED,-31.830288415074573,-28.490826847943527,12.892511529968829,34.074851417540266,74.08165323950688
ADM,-1.054501652737519,0.5661498747420387,0.32210143402187463,1.4678722899970407,-0.21209960290587057
SVRN,-9.34640507454152,-0.5206487598065052,-18.659085477170116,3.0734516366580094,-4.04889972194463
ADLA,17.680954195717874,14.68036461272579,-3.5631649531196805,-18.495715042419082,20.54403429715019
DME,-7.911794159856259,6.538446248734131,2.754710972949139,-7.779804903209095,-0.16287945073813734
IFMX,-6.639782801405238,-52.82647076992504,27.02124769258002,12.564829072597146,-7.109941688448819
HRC,-1.6112536275791258,-1.380809793548444,2.7209654966332852,3.3370217295302056,10.981750198658869
FISV,-2.291861572522054,4.614604150032217,-1.8769157834562558,-2.5801106264983056,0.7878371614091774
CF,-3.08676822790664,4.565466601283147,-2.6445081934731682,-2.861822853529148,0.9300517318393895
SGI,-0.42189523141872315,-9.486766980713993,5.673320087258815,-16.60117197017731,0.23707327662276378
BC,0.74752697731283,3.050407569143701,-0.7637513944044623,-1.2835259180572332,-2.202523802692689
UIS,-0.043558422822735435,1.3796606014067176,-3.9583295480299805,1.63073124941751,-1.24564476887613
WBST,-3.1635097829149923,2.881281600973991,-3.883642364099231,1.7871206877127932,-0.055540145630586055
