Tickers,Weights
MHK,1.4832839427553126
LMT,0.9763028532325122
HD,1.0193590951295646
ABT,1.779430287024663
JBL,1.1338845648036602
BBY,0.3937124138705465
EBAY,0.2465543342966217
CPB,0.09192110121825435
LUV,0.09285061568038963
DUK,0.23799139695886343
VMC,0.2503175179995011
AMZN,0.024497303733142756
AZO,1.430814223106736
PEG,1.2124413812573014
MTB,1.7216649860505746
KLAC,0.7470638711491089
CAT,0.13829649002208155
BAC,1.8174412072149777
MAT,0.07664497725472996
INTC,0.5425829883059572
CVS,1.125602863527628
TXN,0.828500221334319
NEM,0.09423353100093254
KR,1.9620187089781451
AAPL,1.4029629203846472
IBM,0.4631489089158848
VFC,1.7402305817686192
MU,0.31295080233331185
BDX,1.9131388649542194
DOV,1.0459262593203447
CINF,0.06787163104764185
DIS,1.0283877397401893
MCK,0.7646836428080949
PCAR,1.6070101075206127
SHW,1.4413122552206743
SNPS,1.6871619596542518
HON,1.7014204487640678
MKC,0.12787613813588425
QCOM,0.13151359497078888
ZION,1.8385457502536606
DHR,0.5965502908806098
PAYX,1.1662627866141344
DE,0.5430480912414274
UHS,1.4824737058104787
GILD,1.3681017586773647
HAS,0.7973014200055515
FITB,0.502326095081892
JNJ,1.6606299015216166
STT,1.1271944009392232
PG,0.7838305464955372
ITW,0.07032127304025929
VRSN,1.3062929485311197
GWW,1.4169168555986453
AMGN,1.8444528601923496
OXY,0.2333125215862994
CSCO,1.80054152490613
XOM,1.1945850693704552
BMY,1.5881516270439635
TJX,0.5420666954823395
EMN,0.15730049912544697
PPG,1.8944684352090315
FE,1.4821421636035674
XRAY,1.3212971640978424
MCHP,1.376502909040924
CAH,0.490538797742657
NUE,0.789529561404061
SYK,1.6752156421647317
EFX,1.2920568067782245
PEP,1.9446051420789658
CAG,0.9478138448667625
CSX,0.11459945676201345
ORCL,1.2123431715172401
SON,1.0142234522983729
PGR,1.4250514610315579
MAS,0.36906287651678027
CTAS,0.6896205842417915
AIG,1.9339161531402347
BA,1.1477738859189135
MRK,0.31604899600286057
KEY,1.6551985250377261
CL,1.1365897801385205
SO,0.2386233497093071
ECL,0.4727588371382471
MCD,0.6611870620291467
PH,0.46882222590140754
GPC,1.0420688873080115
MMM,1.375281199717219
RHI,0.193698006447498
JPM,1.4374835765659923
ADI,1.154630047017799
SRE,0.8751854128014719
INTU,0.952643364581955
MDU,1.5271497653165316
PXD,0.6024709781996177
APD,1.8871880602335578
GNTX,0.15260719611504397
IP,1.9687945937343803
VLO,0.6672841198602836
UNM,1.4227164315269372
EOG,1.787594722359551
