Tickers,Weights
ZBH,1.835915505616362
PPG,0.7748237549835608
ORA,2.344850990816054
BK,2.5804305695581333
STZ,0.69439476615394
DUK,3.419558343478376
FANG,0.5550929332509195
UPS,5.286836533191589
WMT,4.558886254584643
SAVE,2.3102611300612743
AME,4.050404439032291
LEVI,5.583853373212717
KO,1.5119640459403105
C,1.3530406705910656
CAT,0.3514044238185685
CSCO,3.937013997724971
IBM,0.25431807850500576
JNJ,1.7232830557976933
JPM,3.2280977081095936
K,3.6455694255729143
AAPL,1.434577691305031
MSFT,2.8957317366398163
GOOGL,2.3197381597350657
AMZN,1.427552682155968
TSLA,0.7476699192821419
NFLX,1.4915556572087265
NVDA,0.9583184142269864
BABA,2.3837468559228294
PFE,1.4618799079568006
MRNA,2.239287194999061
DIS,0.018826868024510005
VZ,2.3314067293138985
T,1.842764763458711
XOM,2.3994346286998582
CVX,2.2153020183802563
BA,2.053251615231793
SPG,2.3615109983899307
CEG,0.9394667259177453
PEP,2.904280521679177
MCD,0.6275313847397512
NKE,0.21651542442812005
GME,0.45214039160722225
GS,2.0677312695801056
BAC,2.3390140343341326
WFC,0.2392313003149982
TGT,0.3182487420994477
HD,2.8591154944177966
COST,1.7084796360163887
LLY,1.9144858234163078
ABT,2.8312034105174253
