Stock Ticker,Beta_1 (SMB),Beta_2 (HML),Beta_3 (RMW),Beta_4 (CMA),Beta_5 (RF)
SUNW,-4.172790048232871,3.585693625400305,-14.010610263362185,-1.8566917822890785,0.8787668101601852
ORCL,0.5914793062058253,-0.7471870813852856,-3.1005669541195644,-0.9275509052124873,0.2698509158216089
MSFT,-0.48062604482137083,0.7252394363897116,-1.18789249151795,-3.333456982809118,-0.9081255088755347
SDS,-4.3234442233122055,2.3146601090707666,-6.104541133324545,-1.3373938045008487,2.21134620483519
TW,1.703025174656115,-0.4849693668273989,1.3247406450073491,-1.28542136855321,0.8640587780252085
OV,-9.96855472524827,-0.6650569435052627,-0.5592535402379163,-3.2684712647493104,6.620096071667392
AYE,-0.9807381868966327,3.330237574015164,-3.2927818743390533,0.7653769615726668,1.5450660021413245
TROW,0.1835225601681861,2.5598393366705494,-1.4481731588129316,-1.703375674278975,0.0420351546755252
HON,0.06888703590082614,1.9732331291845924,-1.6982999764014732,-1.355394766678695,-0.8322739998676093
EMC,-2.952905236730152,1.7521895416194382,-8.308546862462826,-1.300471834104492,-0.1208941124925596
TECD,0.6064518615892613,1.5791155486339126,-1.6184491330916035,-2.897371028489352,-1.1026024202071676
FO,0.11276370692355682,1.6091945181244252,0.6514050760198355,0.6804693136589106,-1.10765393392416
TKLC,1.8811556402280294,1.4053593774071216,-8.722067170951364,2.6516361642196316,4.147488703893219
LLTC,-1.2367034267496262,-0.581100800234183,-5.913549972907659,-1.1370459774262631,0.8496549438159764
CY,1.2386105555015907,-1.2412983547279959,-7.182098194695412,0.09114957295821015,-0.32793472596975765
GENZ,-0.7210811211423993,0.7051663428804384,-4.104426491252092,-0.4361816687170447,0.1524888229193584
IMDC,-7.51221439578416,-0.49863099074070205,-4.30567396459497,-2.5217431923859825,-0.6242221933891045
ADPT,2.0926813491808036,-2.3054726092161095,0.8082024886889679,-8.424409286213114,-1.3313119286035402
TCB,-0.26698420258447775,4.091426568751164,-1.2060024543655603,-1.2066667608995671,0.2785272935095915
T,-0.5160896927609102,1.1411350372506852,-0.9786769769315654,-0.5348964198336313,-0.35856634707329604
JMED,-31.830288415074573,-28.490826847943527,12.892511529968829,34.074851417540266,74.08165323950688
ADM,-0.5026373306217132,1.2298061833477314,0.1096739310652774,0.7165012082489809,-0.17754846019907886
SVRN,-9.34640507454152,-0.5206487598065052,-18.659085477170116,3.0734516366580094,-4.04889972194463
ADLA,17.680954195717874,14.68036461272579,-3.5631649531196805,-18.495715042419082,20.54403429715019
DME,-7.911794159856259,6.538446248734131,2.754710972949139,-7.779804903209095,-0.16287945073813734
IFMX,-6.639782801405238,-52.82647076992504,27.02124769258002,12.564829072597146,-7.109941688448819
HRC,0.7360437480525971,1.4205040842358678,0.9451467585593301,-1.8109942277958662,1.9490517292427194
FISV,-0.8847137733161476,2.409746205356633,-0.1736476710197112,-2.350463776980129,0.0018227480737416603
CF,0.16204885018553528,3.4932842968666433,-0.3576889116696562,-1.6880950961633097,0.1733907787832805
SGI,-0.42189523141872315,-9.486766980713993,5.673320087258815,-16.60117197017731,0.23707327662276378
BC,3.3138292490187773,3.8002796027254706,0.8275742895567013,-2.519469058890494,-1.826564977356124
UIS,-0.043558422822735435,1.3796606014067176,-3.9583295480299805,1.63073124941751,-1.24564476887613
WBST,-3.1635097829149923,2.881281600973991,-3.883642364099231,1.7871206877127932,-0.055540145630586055
